"Title","Author","Publisher","Published Date","Format","Pages","Series","Volume","Language","ISBN","Page Read","Item Url","Icon Path","Photo Path","Image Url","Summary","Location","Price","Genres","Rating","Added Date","Copy Index","Read","Started Reading Date","Finished Reading Date","Favorite","Comments","Tags","BookShelf","Settings"
"Bleach, Vol. 2","Kubo, Tite","VIZ Media LLC","2004-08-03","Paperback","192","Bleach","2","English","9781591164425","","https://www.amazon.com/dp/1591164427?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51n7kXyolhL._SL500_.jpg","Goodbye Parakeet, Good Night My Sister
Immediately after checking into the Kurosaki Clinic with a mysterious scar on his back, the muscle-bound Chad goes AWOL. Accompanying Chad is a talking parakeet imbued with the soul of a young boy named Yūichi. It doesn't take newbie Soul Reaper Ichigo Kurosaki long to surmise that a Hollow must be involved. By far the strongest spirit he's faced to date, Ichigo is about to discover that not every soul is bound for the Soul Society, especially if it's tainted with innocent blood.","","10.1","Fantasy","4.30","07/18/2025","","","","","","","","Bleach"
"Bleach, Vol. 3","Kubo, Tite","VIZ Media LLC","2004-10-12","Paperback","192","Bleach","3","English","9781591164432","","https://www.amazon.com/dp/1591164435?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51JKA15JrDL._SL500_.jpg","Memories in the Rain
Ichigo Kurosaki was a little boy when his mother passed away. One rainy day, Ichigo, whose ability top see the undead is a blessing and curse, tried to stop young girl from drowning in a nearby river. His mother, Masaki, ran after them, frantically trying to rescue her only son. Then everything went black, and Ichigo awoke only to discover his mother dead and the little girl gone. 

It's the anniversary of Masaki's death, and the entire Kurosaki clan, along with former Soul Reaper Rukia Kuchiki, head to the cemetary to pay their respects. Sleeping demons rarely ever stay still and pretty soon Ichigo confronts the Grand Fisher, the Hollow that may be responsible for his mother's demise.","","8.75","Fantasy","4.34","07/18/2025","","","","","","","","Bleach"
"Bleach, Vol. 4","Kubo, Tite","VIZ Media LLC","2004-12-07","Paperback","192","Bleach","4","English","9781591164449","","https://www.amazon.com/dp/1591164443?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51MiD0qH9yL._SL500_.jpg","Quincy Archer Hates You
A new reality-show craze is sweeping the nation, garnering legions of screaming fans (the majority of them being teenaged girls). But this program comes with a supernatural twist - the host, a media-savvy spiritualist, travels to local hotspots and performs exorcisms, live on national TV! 

Surly Soul Reaper Ichigo Kurosaki has his doubts about this primetime prima donna, and his assumptions are about to be put to the test - the show is heading straight for his neighborhood. what effect will this unprovoked media presence have on the fragile balance between Earth and the spirit world?","","8.92","Fantasy","4.28","07/18/2025","","","","","","","","Bleach"
"Bloom into You, Vol. 1","Nakatani, Nio","Seven Seas","2017-01-03","Paperback","180","やがて君になる [Bloom Into You]","1","English","9781626923539","","https://www.amazon.com/dp/1626923531?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51uGEby3PVL._SL500_.jpg","人に恋する気持ちがわからず悩みを抱える新入生・小糸侑は、生徒会の先輩・七海燈子が告白を受ける場面に遭遇する。誰からの告白にも心を動かされたことがないという燈子に共感を覚える侑だったが、やがて燈子から思わぬ言葉を告げられる。「私、君のこと好きになりそう」



","","10.85","Romance","4.0","07/18/2025","","","","","","","","Bloom Into You"
"Bloom into You, Vol. 2","Nakatani, Nio","Seven Seas","2017-05-16","Paperback","180","やがて君になる [Bloom Into You]","2","English","9781626924796","","https://www.amazon.com/dp/1626924791?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51dMoQ0aY+L._SL500_.jpg","A charming love story about two young women who together discover that their dreams of a heart-pounding romance can indeed come true!


Yuu has always loved shoujo manga and fantasizes about the day that she too will get a love confession that will send her heart a-flutter. Yet when a male classmate confesses his feelings for her ... she feels nothing. Disappointed and confused, Yuu enters high school still unsure how to respond. That s when Yuu sees the beautiful student council president Nanami turn down a suitor with such maturity and finesse that Yuu is inspired to ask her for advice. But when the next person to confess to Yuu is the alluring Nanami herself, has Yuu's shoujo romance finally begun?


","","12.93","Romance","4.1","07/18/2025","","","","","","","","Bloom Into You"
"Bloom into You, Vol. 3","Nakatani, Nio","Seven Seas","2017-09-19","Paperback","180","やがて君になる [Bloom Into You]","3","English","9781626925441","","https://www.amazon.com/dp/1626925445?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51tHwDc-kNL._SL500_.jpg","A charming love story about two young women who together discover that their dreams of a heart-pounding romance can indeed come true!


Yuu has always loved shoujo manga and fantasizes about the day that she too will get a love confession that will send her heart a-flutter. Yet when a male classmate confesses his feelings for her ... she feels nothing. Disappointed and confused, Yuu enters high school still unsure how to respond. That s when Yuu sees the beautiful student council president Nanami turn down a suitor with such maturity and finesse that Yuu is inspired to ask her for advice. But when the next person to confess to Yuu is the alluring Nanami herself, has Yuu's shoujo romance finally begun?


""


","","39.9","Romance","4.3","07/18/2025","","","","","","","","Bloom Into You"
"Bloom into You, Vol. 4","Nakatani, Nio","National Geographic Books","2018-02-20","Paperback","","やがて君になる [Bloom Into You]","4","eng","9781626926844","","https://www.goodreads.com/book/show/35843201-bloom-into-you-vol-4","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521050763l/35843201._SX98_.jpg","七海燈子の念願である生徒会劇。
夏休みに入り、その練習合宿が行われる。
それぞれの思いを秘めながら合宿に臨む燈子、侑、沙弥香。
その一方で、燈子の追い求め続けた理想は、揺らぎ始めていた。
「侑は私のこと、好きにならないでね」","","","Manga","4.34","07/18/2025","","","","","","","","Bloom Into You"
"Bloom into You, Vol. 5","Nakatani, Nio","Seven Seas","2018-08-14","Paperback","180","やがて君になる [Bloom Into You]","5","English","9781626928022","","https://www.amazon.com/dp/1626928029?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51uJ2gMg+TL._SL500_.jpg","燈子を変えたい。

自らの願いを見つけた侑は、

こよみに生徒会劇脚本の改変を提案する。

だが、侑の願いは燈子の望むものではなく……


「お姉ちゃんになるのが間違いなら、

私は何になればいいの」


","","12.99","Romance","4.4","07/18/2025","","","","","","","","Bloom Into You"
"Bloom into You, Vol. 6","Nakatani, Nio","Seven Seas Entertainment","2019-03-26","Paperback","184","やがて君になる [Bloom Into You]","6","eng","9781626929418","","https://www.goodreads.com/book/show/39863553-bloom-into-you-vol-6","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546016006l/39863553._SX98_.jpg","THE CURTAINS RISE…

The student council play has finally begun! Who will Touko’s character choose to be at the end? And how will Touko herself feel when the play is over and her dearest wish has been realized?","","","Manga","4.48","07/18/2025","","","","","","","","Bloom Into You"
"Bloom into You, Vol. 7","Nakatani, Nio","National Geographic Books","2018-02-20","Paperback","","やがて君になる [Bloom Into You]","7","eng","9781642750201","","https://www.goodreads.com/book/show/40045970-bloom-into-you-vol-7","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580206220l/40045970._SX98_.jpg","A charming love story about two young women who together discover that their dreams of a heart-pounding romance can indeed come true--now with an anime!

Yuu has always loved shoujo manga and fantasizes about the day that she too will get a love confession that will send her heart a-flutter. Yet when a male classmate confesses his feelings for her...she feels nothing. Disappointed and confused, Yuu enters high school still unsure how to respond. That’s when Yuu sees the beautiful student council president Nanami turn down a suitor with such maturity and finesse that Yuu is inspired to ask her for advice. But when the next person to confess to Yuu is the alluring Nanami herself, has Yuu's shoujo romance finally begun?","","","Manga","4.48","07/18/2025","","","","","","","","Bloom Into You"
"Bloom into You, Vol. 8","Nakatani, Nio","National Geographic Books","2018-02-20","Paperback","215","やがて君になる [Bloom Into You]","8","eng","9781642757460","","https://www.goodreads.com/book/show/43263372-bloom-into-you-vol-8","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589822951l/43263372._SX98_.jpg","A charming love story about two young women who together discover that their dreams of a heart-pounding romance can indeed come true--now with an anime!

Yuu has always loved shoujo manga and fantasizes about the day that she too will get a love confession that will send her heart a-flutter. Yet when a male classmate confesses his feelings for her...she feels nothing. Disappointed and confused, Yuu enters high school still unsure how to respond. That’s when Yuu sees the beautiful student council president Nanami turn down a suitor with such maturity and finesse that Yuu is inspired to ask her for advice. But when the next person to confess to Yuu is the alluring Nanami herself, has Yuu's shoujo romance finally begun?","","","Manga","4.61","07/18/2025","1","","","","","","","Bloom Into You"
"Blue Exorcist, Vol. 1","Kato, Kazue; Werry, John","VIZ Media LLC","2011-04-05","Paperback","202","青の祓魔師 [Ao no Exorcist]","1","English","9781421540320","","https://www.amazon.com/dp/1421540320?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/513f6GFYa8L._SL500_.jpg","Fight Hellfire With Hellfire!

Raised by Father Fujimoto, a famous exorcist, Rin Okumura never knew his real father. One day a fateful argument with Father Fujimoto forces Rin to face a terrible truth – the blood of the demon lord Satan runs in Rin's veins! Rin swears to defeat Satan, but doing that means entering the mysterious True Cross Academy and becoming an exorcist himself. Can Rin fight demons and keep his infernal bloodline a secret? It won't be easy, especially when drawing his father's sword releases the demonic power within him!

Reads R to L (Japanese Style) for audiences T+.

","","11.15","Fantasy","4.35","07/18/2025","","","","","","","","Blue Exorcist"
"Blue Exorcist, Vol. 10 (10)","Kato, Kazue","VIZ Media LLC","2013-07-02","Paperback","192","青の祓魔師 [Ao no Exorcist]","10","English","9781421558868","","https://www.amazon.com/dp/1421558866?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/6129i2HKOWL._SL500_.jpg","With the defeat of the Impure King, the Exwires have returned to their routine lives back at True Cross Academy--but the routine doesn't last for long! Halfway around the world, a strange encounter in the desert is the harbinger of evil things to come. An upturn in supernatural incidents at the academy involves Rin and his friends, but their seemingly simple tasks are about to draw them into a far larger conspiracy. Powerful forces have begun to awaken and an old enemy prepares for a new conflict.","","9.99","Fantasy","4.36","07/18/2025","","","","","","","","Blue Exorcist"
"Blue Exorcist, Vol. 11 (11)","Kato, Kazue","VIZ Media LLC","2014-03-04","Paperback","210","青の祓魔師 [Ao no Exorcist]","11","English","9781421565477","","https://www.amazon.com/dp/1421565471?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51kEGVpn0OL._SL500_.jpg","Rin and his friends continue to investigate the Seven School Mysteries. Yukio watches as the Exwires take on the Academy’s ghosts, troubled by lingering doubts about his own feelings. Rin seems to be learning to control his power more, but is tapping his inner demonic fire going to be his salvation or his doom?","","9.99","Fantasy","4.35","07/18/2025","","","","","","","","Blue Exorcist"
"Blue Exorcist, Vol. 2","Kato, Kazue; Werry, John","VIZ Media LLC","2011-04-11","Paperback","210","青の祓魔師 [Ao no Exorcist]","2","eng","9781421540337","","https://www.goodreads.com/book/show/10334528-blue-exorcist-vol-2","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1296223980l/10334528._SX98_.jpg","Shocked by the death of his foster father and the revelation that his real father is the demon Lord Satan, Rin Okumura enters the True Cross Academy to learn to be an exorcist. But every great exorcist has to start somewhere, and for the students of the academy the first step is the Exwire examination. To prepare for the exam, the new pages in Yukio's class must undergo intensive training. Rin and his classmates have their hands full when a demon appears, but is this a test or something more sinister? 


Reads R to L (Japanese Style) for audiences T+.

","","","Manga","4.45","07/18/2025","","","","","","","","Blue Exorcist"
"Blue Exorcist, Vol. 3 (3)","Kato, Kazue; Werry, John","VIZ Media LLC","2011-08-02","Paperback","200","青の祓魔師 [Ao no Exorcist]","3","English","9781421540344","","https://www.amazon.com/dp/1421540347?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/61KQZA2csyL._SL500_.jpg","As a new Exorcist Esquire at True Cross Academy, Rin Okumura has a long way to go before he reaches the top rank of Paladin. When Rin and his classmates are sent to search for a ghost, Amaimon, King of Earth, takes Rin by surprise and steals the Koma Sword. Higher powers have been observing events at the academy and make their presence known. New players enter the game, and Rin doesn't even know he's playing!","","10.35","Fantasy","4.40","07/18/2025","","","","","","","","Blue Exorcist"
"Blue Exorcist, Vol. 4 (4)","Kato, Kazue; Werry, John","VIZ Media LLC","2011-10-04","Paperback","200","青の祓魔師 [Ao no Exorcist]","4","English","9781421540474","","https://www.amazon.com/dp/1421540479?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51k7-x8WjCL._SL500_.jpg","While most of the students at True Cross Academy head home for the summer break, Rin and his classmates are sent to a training camp in the forest district, and the right to go on a real mission is riding on their performance! Locating and recovering their objectives in the woods is tough and will require teamwork, skill and more than a little magic—and Rin will have to learn to rely on his friends. But is Mephisto masterminding something behind the scenes?!","","7.34","Fantasy","4.43","07/18/2025","","","","","","","","Blue Exorcist"
"Blue Exorcist, Vol. 5 (5)","Kato, Kazue; Werry, John","VIZ Media LLC","2011-12-06","Paperback","202","青の祓魔師 [Ao no Exorcist]","5","English","9781421540764","","https://www.amazon.com/dp/1421540762?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/518v5HPEdML._SL500_.jpg","In the late Edo Period, a demon known as the Impure King killed thousands of people. After defeating the demon, the Knights of the True Cross kept its left eye safely sealed away on Academy grounds—but now someone has stolen it! Hearing the thief has taken a child hostage, Yukio and Rin go to help. The investigation and pursuit will lead Rin and his friends to Kyoto and involve them even deeper in a sinister plot! But will his friends’ knowledge that Rin is the son of Satan drive a wedge between them?","","10.24","Fantasy","4.42","07/18/2025","","","","","","","","Blue Exorcist"
"Blue Exorcist, Vol. 6 (6)","Kato, Kazue","VIZ Media LLC","2012-02-07","Paperback","200","青の祓魔師 [Ao no Exorcist]","6","English","9781421541747","","https://www.amazon.com/dp/1421541742?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51IqsL-k18L._SL500_.jpg","The heads of the various Myodha temple families gather to discuss recent events surrounding the Eyes of the Impure King. Revelations at the meeting only deepen suspicion of Suguro’s father, Tatsuma, and angry accusations follow. Tatsuma’s silence on the matter isn’t helping either. Amid all the swirling distrust, Rin tries to make sense of things but struggles to keep his flame in check. Then Rin receives a letter that may shed more light on the current situation—and the secret past!","","11.99","Fantasy","4.38","07/18/2025","","","","","","","","Blue Exorcist"
"Blue Exorcist, Vol. 7 (7)","Kato, Kazue","VIZ Media LLC","2012-04-03","Paperback","192","青の祓魔師 [Ao no Exorcist]","7","English","9781421542621","","https://www.amazon.com/dp/1421542625?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51eJ9KiHdUL._SL500_.jpg","Mamushi and Todo now have both eyes of the Impure King and are headed for the temple that was once the center of the Myodha sect. Mamushi wants to seal the eyes away, but may be too late to realize Todo’s true purpose—the awakening of the Impure King! Meanwhile, Rin learns more about Father Fujimoto’s connection to Tatsuma and the origin of the Koma Sword. Rin will need the weapon and all of his strength to face the terrible power of the Impure King!","","9.73","Fantasy","4.41","07/18/2025","","","","","","","","Blue Exorcist"
"Blue Exorcist, Vol. 8 (8)","Kato, Kazue","VIZ Media LLC","2012-11-06","Paperback","200","青の祓魔師 [Ao no Exorcist]","8","English","9781421550848","","https://www.amazon.com/dp/1421550849?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51u5sJ8k8EL._SL500_.jpg","Awakened by the traitor Saburota Todo, the Impure King’s massive form threatens to engulf the city of Kyoto. As the Exorcists of the Tokyo Branch and the monks of the Myodha temple do all they can to contain the demon, Rin and his friends find themselves separated and facing their own battles. While Rin and Ryuji race to confront the full might of the Impure King, Yukio takes on Todo singlehanded and discovers that he may be his own worst enemy!","","9.0","Fantasy","4.48","07/18/2025","","","","","","","","Blue Exorcist"
"Blue Exorcist, Vol. 9 (9)","Kato, Kazue","VIZ Media LLC","2013-04-02","Paperback","192","青の祓魔師 [Ao no Exorcist]","9","English","9781421554778","","https://www.amazon.com/dp/1421554771?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51ScLC74OFL._SL500_.jpg","All of Rin’s friends have done their best to hold off the deadly Impure King so Rin can confront it. Now it’s entirely up to Rin to finish off the gigantic demon. Although Rin has finally drawn the Koma sword and found his confidence, that alone may not be enough to defeat the Impure King! And Yukio’s battle with the possessed Saburota Todo may have awakened something dark deep within him.","","9.99","Fantasy","4.38","07/18/2025","","","","","","","","Blue Exorcist"
"Blue Period 1","Yamaguchi, Tsubasa","Kodansha Comics","2020-10-13","Paperback","224","ブルーピリオド [Blue Period]","","English","9781646511129","","https://www.amazon.com/dp/1646511123?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51PTklLzfVL._SL500_.jpg","STILL LIFE

Yatora is the perfect high school student, with good grades and lots of friends. It's an effortless performance, and, ultimately... a dull one. But he wanders into the art room one day, and a lone painting captures his eye, awakening him to a kind of beauty he never knew. Compelled and consumed, he dives in headfirst--and he's about to learn how savage and unforgiving art can be...","","8.24","Action & Adventure","4.40","07/19/2025","","","","","","","","Blue Period"
"Boy's Abyss, Vol. 1 (1)","Minenami, Ryo","VIZ Media LLC","2023-04-25","Paperback","208","少年のアビス [Shōnen no Abyss]","1","English","9781974736683","","https://www.amazon.com/dp/1974736687?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41o26uncwoL._SL500_.jpg","Reiji’s life is as miserable as the small town he can’t escape. The most interesting thing that’s ever happened there is a double suicide down by the river. Does Reiji have any power over his fate, or will he too fall into the abyss?

Reiji’s mother is checked out, he’s stuck caring for his grandmother with dementia, and his childhood friend treats him like a lackey. Then beautiful, big-city pop star Nagi miraculously shows up working the counter at the local convenience store. Reiji is starstruck. When she offers him the ultimate way out of his claustrophobic existence, will he succumb to temptation…?","","10.3","Horror","3.69","07/18/2025","","","","","","","","Boy's Abyss"
